i,j,k,l,val
1,9,1,2,720.000
1,12,1,1,720.000
2,5,1,1,720.000
2,5,10,1,1440.000
2,9,2,1,1002.366
2,9,8,1,1440.000
2,9,12,1,1440.000
2,10,2,2,437.634
3,0,2,2,437.634
3,0,3,1,1439.000
3,0,6,2,1.000
3,0,10,1,1440.000
3,6,3,2,1.000
4,0,1,2,720.000
4,0,2,1,1002.366
4,0,4,2,720.000
4,0,7,2,522.793
4,0,12,1,1440.000
4,7,4,1,720.000
5,3,10,1,1440.000
5,4,2,1,1002.366
5,4,12,1,1440.000
5,6,1,1,720.000
5,6,5,1,1202.913
5,6,9,1,1440.000
5,6,11,1,1440.000
5,11,5,2,237.087
6,0,1,1,720.000
6,0,3,2,1.000
6,0,5,1,1202.913
6,0,6,1,1439.000
6,0,9,1,1440.000
6,0,11,1,1440.000
6,3,6,2,1.000
7,0,4,1,720.000
7,0,5,2,237.087
7,0,7,1,917.207
7,0,8,1,1440.000
7,4,7,2,522.793
8,12,8,1,1440.000
9,4,1,2,720.000
9,5,11,1,1440.000
9,11,2,1,1002.366
9,11,8,1,1440.000
9,11,9,1,1440.000
9,11,12,1,1440.000
10,2,10,1,1440.000
10,3,2,2,437.634
11,5,2,1,1002.366
11,5,9,1,1440.000
11,5,12,1,1440.000
11,7,5,2,237.087
11,7,8,1,1440.000
11,9,11,1,1440.000
12,2,1,1,720.000
12,2,8,1,1440.000
12,2,12,1,1440.000
