i,j,k,l,val
1,0,1,1,0.998611111
1,0,2,3,0.000694444
1,0,3,1,0.609722222
1,0,4,1,0.998611111
1,0,10,1,1
1,2,1,2,0.000694444
1,4,1,3,0.000694444
2,0,1,2,0.000694444
2,0,2,1,0.998611111
2,0,5,2,0.499305556
2,0,7,1,1
2,0,12,1,1
2,1,2,3,0.000694444
2,8,2,2,0.000694444
3,0,3,2,0.222222222
3,4,3,3,0.168055556
3,7,3,1,0.609722222
3,7,4,2,0.000694444
4,0,1,3,0.000694444
4,0,3,3,0.168055556
4,0,4,3,0.000694444
4,1,4,1,0.998611111
4,3,4,2,0.000694444
5,0,5,1,0.5
5,6,5,3,0.000694444
5,12,5,2,0.499305556
6,0,4,2,0.000694444
6,0,6,1,0.440972222
6,8,6,2,0.440972222
6,9,5,3,0.000694444
6,9,6,3,0.118055556
6,9,7,1,1
7,1,3,1,0.609722222
7,6,7,1,1
7,11,4,2,0.000694444
8,0,2,2,0.000694444
8,0,6,2,0.440972222
8,0,8,1,1
9,0,5,3,0.000694444
9,0,11,1,1
9,12,6,3,0.118055556
9,12,7,1,1
9,12,9,1,1
10,1,10,1,1
11,6,4,2,0.000694444
11,9,11,1,1
12,0,6,3,0.118055556
12,0,9,1,1
12,2,5,2,0.499305556
12,2,7,1,1
12,2,12,1,1
