i,j,k,l,val
1,0,1,1,0.999
1,0,2,3,0.001
1,0,3,1,0.962
1,0,4,1,0.999
1,0,7,1,0.912
1,0,9,3,0.001
1,0,10,1,0.999
1,2,1,3,0.001
1,4,1,2,0.001
2,0,1,3,0.001
2,0,2,1,0.999
2,0,8,1,0.997
2,0,9,1,0.999
2,0,11,1,0.999
2,0,12,2,0.186
2,1,2,3,0.001
2,8,2,2,0.001
3,4,3,1,0.962
3,4,10,2,0.001
3,10,3,2,0.022
3,10,4,3,0.001
3,11,3,3,0.016
4,0,1,2,0.001
4,0,4,2,0.001
4,0,10,2,0.001
4,1,3,1,0.962
4,1,4,1,0.999
4,3,4,3,0.001
5,0,5,3,0.041
5,0,7,3,0.044
5,0,11,3,0.001
5,9,5,2,0.041
5,12,3,3,0.016
5,12,5,1,0.918
6,0,3,2,0.022
6,0,4,3,0.001
6,0,6,3,0.001
6,0,11,2,0.001
6,8,6,2,0.286
6,9,6,1,0.713
6,9,7,2,0.044
6,9,10,3,0.001
7,1,7,1,0.912
7,6,3,2,0.022
7,6,4,3,0.001
7,6,7,2,0.044
7,11,7,3,0.044
8,0,2,2,0.001
8,0,3,3,0.016
8,0,6,2,0.286
8,0,8,3,0.001
8,0,10,3,0.001
8,0,12,1,0.711
8,2,8,1,0.997
8,12,8,2,0.001
9,0,5,2,0.041
9,0,6,1,0.713
9,0,9,2,0.001
9,1,9,3,0.001
9,12,7,2,0.044
9,12,9,1,0.999
9,12,10,3,0.001
9,12,11,1,0.999
10,1,10,1,0.999
10,3,10,2,0.001
10,6,10,3,0.001
10,7,3,2,0.022
10,7,4,3,0.001
11,5,3,3,0.016
11,5,7,3,0.044
11,5,11,3,0.001
11,6,11,2,0.001
11,9,11,1,0.999
12,0,5,1,0.918
12,0,7,2,0.044
12,0,8,2,0.001
12,0,12,3,0.103
12,2,9,1,0.999
12,2,11,1,0.999
12,2,12,2,0.186
12,8,3,3,0.016
12,8,10,3,0.001
12,8,12,1,0.711
